Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Bowmore 50 year old (distilled 1961),"The whisky is sensational, a glorious mix of ginseng syrup, baked banana, semi-dried tropical fruits, and an exotic smoked edge. Without the last, you could believe it was a delicate Cognac. In time, there’s peppermint and guava syrup. A sip is all you need to reveal perfect, thrilling harmony: light nuttiness, pollen, subtle fruits, gentle smoke, and light fungal touches. It’s stunning, but it’s £16,000! Whisky this great, even in limited quantities, should be fairly priced. Points off. £16,000",95 points,Single Malt Scotch  , Dave Broom ,  $26650,Spring 2014,40.7%
Brora,"Astonishingly fresh and clean for 30 years in oak, and with incredible depth. Slight oily texture. Appetizing brine, with honeyed vanilla, mustard seed, green olive, Seville orange, and lemon zest. Underlying smoke, damp peat, and seaweed. Put simply, Brora at its finest.",95 points,Single Malt Scotch  , John Hansell ,  $400.00,Summer 2008,55.7%
Lombard 'Jewels of Scotland' (distilled at Brora),"Bottled in 2004, but just recently put in circulation here in the U.S. (Very strange.) It’s worth the wait. It’s fresh (even at 22 years old), appetizing, spicy, and briny. There’s a sweet foundation of vanilla wafer and caramel, with a slightly oily texture. White pepper, seaweed, mustard seed, lime, gherkin, and teasing gin botanicals add complexity. Spicy, salty finish. A vibrant, dynamic expression of the shuttered original Clynelish distillery. Quite stunning, actually. Find yourself a bottle before they’re gone!",95 points,Single Malt Scotch  , John Hansell ,  $200.00,Fall 2009,50%
Brora,"This whisky has all the positive aspects of a very mature whisky (depth, complexity) without all the negative ones (excessive oak, one-dimensional). Very clean, but oily in texture, with honeyed vanilla, caramel, citrus (tangerine, orange, lemon), nectarine, olive brine, black pepper, ginger, cut grass, mustard seed, and just the hint of teasing smoke. Briny, spicy finish. Wonderful!",95 points,Single Malt Scotch  , John Hansell ,  $400.00,Spring 2010,53.2%
Brora 2010,"Though Brora has acquired cult status, it has to be said that for a few years these Special Release Broras went through an off-putting butyric phase, which might well have put off newbies to this legendary closed site, who must have wondered what all the fuss was about. One nose of the 2010 SR shows that these days have been consigned to the past. This is classy from the word go. Gold in color; the nose manages to be both overtly waxy — I’m reminded of waxed paper — and fragrant. Behind that is coal smoke, rather than the heavy peatiness of earlier vintages (Brora’s peating levels varied in its last years). In other words, this is robust and powerful, with an evocative aroma that speaks of old sea chests, the seashore, and vellum. Hugely concentrated, with massed fruits — quince especially — following behind. This is amplified with a drop or two of water. The palate is unctuous and heavy. Tectonic plates move more quickly than this does in the mouth. When it does, the oily/waxy textures and flavors move slowly — camphor, peach, membrillo, hints of citrus, and toward the finish a growing brininess (akin to olives) and a hint of smoke. Elemental and one of the best Broras for years. [not available in the U.S.]£280",95 points,Single Malt Scotch  , Dave Broom ,  $455.00,Spring 2011,54.3%
Brora 35 year old,"Maturation of this 1978 distillate has taken place in European oak and refill American oak casks. Fresh and fruity on the early, herbal nose; a hint of wax, plus brine, developing walnut fudge, and an underlying wisp of smoke. Finally, wood resin. The palate is very fruity, with mixed spices, then plain chocolate, damp undergrowth, gentle peat smoke, and finally coal. Mildly medicinal. Ashy peat and aniseed linger in the long, slowly drying finish. Brora at its very best. (2,944 bottles) Editor's Choice",95 points,Single Malt Scotch  , Gavin Smith ,  $750,Spring 2014,49.9%
Glenfarclas 1968 Vintage,"It has been quite a while since we’ve seen a new Glenfarclas here in the U.S. but, after tasting this whisky, it was worth the wait. Glenfarclas is a rich, stylish whisky that ages very well, and this 1968 vintage proves it. It is very deep and mature, with complex fruit (sultana, marmalade) layered by sweetness (honey, caramel, and toffee). All those years in oak contribute another dimension to the whisky, providing a dry, oaky spiciness, polished leather, and a hint of tobacco-especially on the finish. Never does the whisky taste tired or excessively woody. It expresses all that is good about an older whisky, without any of the down side. I’m told that most of the 1,400 bottles imported to the U.S. went to the Chicago area. It’s worth taking the extra time to track down a bottle.",95 points,Single Malt Scotch  , John Hansell ,  $200,Summer 2004,43%
Glenfarclas 40 year old,"Glenfarclas has a proven track record for aging very well. I’ve enjoyed some amazing 25 and 30 year old expressions, in addition to some older vintage offerings. Does this new 40 year old follow suit? Absolutely! It’s complex and well-rounded, with great depth and no excessive oak. Lush, candied citrus (especially orange), old pot still rum, maple syrup, fig, roasted nuts, and polished leather, with hints of mocha, candied ginger, and tobacco. A bit oily in texture (which I find soothing) with good tannic grip on the finish. A classic, well-matured Glenfarclas — and a very good value for its age. (Editor's Choice)",95 points,Single Malt Scotch  , John Hansell ,  $460,Fall 2010,46%
Glenglassaugh,"An excellent example of an ultra-mature, sherried whisky done the right way. Much darker and more decadent than the other two releases here. Silky texture. Rummy, jammy fruit, toasted walnut, leather, spice (cinnamon, clove), tobacco, and dark chocolate, with a foundation of juicy oak. Tasting this whisky, you know it’s old, but you also know it’s very good.",95 points,Single Malt Scotch  , John Hansell ,  $2525.00,Spring 2011,44.6%
The Glenlivet Cellar Collection 1973 vintage,"A marriage of three casks, one of them an ex-sherry butt. The sherry is certainly evident, and this is more sherried than many of the Cellar Collection whiskies to date. Opulent and seductive, with prominent fruit (glazed spiced oranges, ripe peach, and hints of pineapple and coconut), caramel-coated nuts, and vanilla custard. A peppering of ginger and cinnamon throughout. Coating, soothing finish. Polished and seamless, with no trace of excessive oak. One of the richest -- and finest -- Cellar Collections to date. Anyone willing and able to cough up the bucks for this whisky will be richly rewarded. (Only 240 bottles available in the U.S., beginning June 2010.)",95 points,Single Malt Scotch  , John Hansell ,"  $1,250",Summer 2010,49%
Highland Park,"Dark and decadent. Notes of old pot still rum, roasted nuts, chocolate fudge, burnished leather, Dundee cake, tobacco, and a hint of damp peat. When I drink this, I feel like I’m sitting in the study of a stately Scottish mansion contemplating a fine, aged Cuban cigar. Royalty in a glass. (Bottled for Binny’s Beverage Depot)",95 points,Single Malt Scotch  , John Hansell ,  $280.00,Winter 2007,54.4%
Highland Park 50 year old,"The nose of this veteran is hugely enticing; rich, with old leather, soft spices, sultanas, figs, polished oak, and dunnage warehouses. Tangy orange develops in time. The orange carries over onto the palate—amazingly vibrant and youthful fruitiness—followed by soft toffee, woodsmoke, and a sprinkling of dusty oak. The finish is extraordinarily long, with licorice and fruit-laden old oak. A true classic! (77 bottles in U.S.)",95 points,Single Malt Scotch  , Gavin Smith ,"  $15,000",Winter 2018,42.5%
Laphroaig 25 year old (2008 Edition),"The flavors evolve on the nose and palate, with peat kiln smoke, fresh asphalt, damp earth warehouses, morning-after campfire ash, and old boat dock contrasting nicely with toffee apple, crème caramel, delicate raspberry preserve, and dried citrus. Long, smoky, spicy, briny, seaweed, dirty martini-tinged finish. This whisky comes from a combination of both sherry and bourbon casks, and the marriage works. I also like that it retains some of its youthful brashness, while showing the depth that maturity affords a whisky. A delicious, well-balanced, old-fashioned Laphroaig.(Reviewing this whisky gave me an excuse to open a “fresh” bottle of its predecessor, the 30 year old, and here are my thoughts. The 30 year old is softer, mellower, drier, and more debonair. The 25 year old is bolder, more youthful, more dynamic, richer, and sweeter — bottling at cask strength really helps here. Both whiskies are very nice, but quite different in personality.)",95 points,Single Malt Scotch  , John Hansell ,  $500,Fall 2009,51.2%
The Macallan Estate Reserve,"Amber color. Richly textured (great mouth feel), with vanilla fudge, nougat, ripe citrus, and ginger cake leading to a complex, spicy finish. Great depth on this one. Well-polished. My pick of the lot.",95 points,Single Malt Scotch  , John Hansell ,  $215,Summer 2009,45.7%
Dun Bheagan (distilled at Springbank),"Quite fresh and appetizing for a 35 year old whisky, but not too surprising for a Springbank. Notes of creamy vanilla, burnt caramel, coconut custard, brine, and a hint of anise. Complex, vibrant, and well-balanced. Reminds me why I love those old Springers. Devotees will not be disappointed. A stunning whisky! (Exclusive to Astor Wines and Spirits.)",95 points,Single Malt Scotch  , John Hansell ,  $300.00,Fall 2007,50.5%
Jewels of Scotland (distilled at Springbank),"Bottled in 2001, but still in circulation and (fortunately) just finding its way to me. These Springers from the ‘60s are getting rarer and quite expensive. This is a great example of why they are so coveted -- clean and well matured, with no sign of excessive oak. Elegant sherried fruit dovetails nicely with polished oak and a steady stream of dried spices. Look for citrus, nectarine, red licorice, coconut oil, ripe banana, and vanilla custard with warming cinnamon and brine. Warm, spicy finish. Very polished!",95 points,Single Malt Scotch  , John Hansell ,  $400.00,Winter 2009,46%
Aberfeldy 14 year old Single Cask,"Single cask Aberfeldy bottlings are very few and far between, and this is a stunner! After hogshead maturation the whisky ultimately underwent a period of finishing in an ex-sherry cask prior to bottling. The nose offers sultanas, raisins, and hot chocolate. Developing vanilla and a hint of over-ripe bananas. Finally, burnt sugar and caramel. Insinuating and syrupy on the palate, with apricots, dried fruits, honey, and sherry. Gently spicy and warming, with licorice in the notably long finish. £115",94 points,Single Malt Scotch  , Gavin Smith ,  $181,Winter 2011,58.1%
Ardbeg 1974 Vintage (Cask #3524),"Cask #3524 is darker, with notes of sticky toffee pudding and chewy caramel that firmly support the polished leather, cigar box, roasted chestnut, smoked seaweed, tar, dark chocolate, and, on the finish, espresso. A meditative whisky. Price listed includes entire Double Barrel 1974 Vintage set.",94 points,Single Malt Scotch  , John Hansell ,"  $20,000",Spring 2008,49.9%
Ardbeg Uigeadail,"Launched in 2003, Uigeadail remains one of Ardbeg’s core offerings. Matured in a mix of sherry and bourbon barrels and bottled at cask strength. Peppery peat, warm tar, coffee grounds, machine oil, and black pepper on the nose. The palate is complex and rich, offering orange segments sprinkled with sea salt, dark chocolate, malt, and ever-present sweet peat. Nicely balanced. Lengthy in the finish, with smoky caramel.",94 points,Single Malt Scotch  , Gavin Smith ,  $80,Fall 2018,54.2%
The Balvenie Vintage Cask 1976 vintage,"Very spicy and complex, with incredible depth. Once again, this 30-plus year old whisky proves the aging ability of Balvenie. Still quite vibrant and invigorating for such maturity. The classic Balvenie honey note is there, but more reserved, along with graham cracker, vanilla wafer, citrus peel, raspberry (red and black), nectarine, and polished oak. Long, spicy finish. Another outstanding Balvenie Vintage Cask. Although, I look at the price and remember how shocked I was when the Balvenie vintages were selling for $400.",94 points,Single Malt Scotch  , John Hansell ,  $800,Spring 2009,53%
The Balvenie Tun 1401 (Batch #3),"A combination of three sherry butts and seven bourbon casks. This is a complex, dynamic whisky, loaded with lush, layered ripe fruit (red berries, tropical fruit, honeyed apricot, raisin), toffee, oak resin, polished leather, and well-defined spice notes (cinnamon, vanilla, nutmeg, clove). Long, warming finish. (Exclusive to the U.S.)",94 points,Single Malt Scotch  , John Hansell ,  $250,Fall 2012,50.3%
Balvenie 1971 vintage,"This veteran was matured in a European oak oloroso sherry butt. The nose is fragrant, with malt, raisins, and tangy orange in time, settling to stewed fruits; a pleasing harmony of aromas. The palate is chewy and spicy, with a lovely bitter-sweet interplay between orchard fruits and dark oak, sprinkled with icing sugar. Licorice, tannic oak, and bitter chocolate in the very long finish. A classic survivor. £21,000",94 points,Single Malt Scotch  , Gavin Smith ,"  $27,747",Spring 2019,49.9%
Signatory 35 year old 1970 vintage (distilled at Bowmore),"Lush, thick fruit and chewy toffee soothes the assertive notes of earthy peat and leafy bonfire. Underlying smoked nuts, brine, kalamata olives, and tobacco provide continued entertainment. A complex whisky that completely envelops the palate. This is an excellent example of a mature, sherried Bowmore.",94 points,Single Malt Scotch  , John Hansell ,  $500,Fall 2006,51.9%
White Bowmore 43 year old 1964 vintage,"I like this Bowmore better than all the previous bourbon oak-aged, ultra-mature Bowmore whiskies that have been released over the past fifteen years (there have been several). The oak is always present, but not dominant. The whisky really evolves on the palate, just like the Black Bowmore releases. This emphasis here is on fruit, bright fruit: peach, tangerine, mango, ripe melon, and pineapple. There’s a soft, gentle side to the whisky, too, enhanced by sweeter notes of pancake syrup, orange creamsicle, and white chocolate. Heavy oak notes emerge, along with teasing, earthy smoke, to give the whisky depth and bottom notes. The smoke and oak linger long on the finish. Very contemplative. In short, an outstanding whisky, but not quite reaching the excellence of Black Bowmore.
   (Allocation information: 732 bottles available worldwide; 40 bottles are being allocated for the U.S., half of the quantity of Black Bowmore which was released earlier this year.)",94 points,Single Malt Scotch  , John Hansell ,  $6000,Winter 2008,42.8%
Bowmore 50 year old 1966 vintage,"The third and most exclusive release in Bowmore’s Vault Legends Collection was matured for 50 years in bourbon hogshead #5675. The nose is fragrant and musky, slightly oily, with orange peel, developing vanilla, and green citrus notes. Intense orange and peach on the palate, with black pepper, aniseed, and sweet oak. Very persistent tangy citrus fruits through the extremely long finish. No negative tannic notes. (74 bottles)",94 points,Single Malt Scotch  , Gavin Smith ,"  $30,000",Summer 2018,41.5%
Brora 35 year old Special Release 2012,"Previous Broras in the Diageo Special Release series have set the bar remarkably high, and this, the eleventh such bottling, does not disappoint. The component whiskies were distilled during 1976 and 1977 and matured in refill American oak casks. The nose offers lemon and contrasting vanilla and honeycomb aromas. Musty malt and coal in the background. The citrus and honey themes continue into the slightly earthy, peppery palate, while French mustard and coal figure in the drying finish. 1,566 bottles.",94 points,Single Malt Scotch  , Gavin Smith ,  $645.00,Winter 2012,48.1%
Brora 40 year old Single Cask 1972 Vintage,"Just 160 bottles of 1972 Brora are available through UK World of Whiskies and World Duty Free Group stores. The oldest bottling of Brora to date was distilled using heavily-peated malt. A big hit of oily peat on the early nose, with malt, dried fruit, and black pepper. Mildly medicinal. The palate yields bonfire ash, licorice, honey, more pepper, and well-integrated oak. The finish is long, with peat smoke, plain chocolate, and tannins lingering in harmony. Complex and rewarding. £7,000",94 points,Single Malt Scotch  , Gavin Smith ,  $11824,Summer 2014,59.1%
Brora 1978 35 year old (Diageo Special Release 2014),"This is the 13th annual release of Brora, which has been aged in refill American oak and refill European oak casks. Hessian and hemp on the early nose, with a whiff of ozone, discreet peat, and old tar. Fragrant and fruity notes develop, with ripe apples, and a hint of honey. The palate is waxy, sweet, and spicy, with heather and ginger. Mildly medicinal and smoky. Dries steadily in the finish to aniseed, black pepper, dark chocolate, and fruity tannins. (2,964 bottles)",94 points,Single Malt Scotch  , Gavin Smith ,  $1250,Winter 2014,48.6%
Bruichladdich Legacy 6,"The sixth and last bottling from the Legacy series. Legacy 6 is a marriage of six casks from 1965, 1970, and 1972. Soft and mellow on the nose and palate, with unbelievably restrained oak for such a mature whisky. Delicious notes of coconut, soothing vanilla, caramel custard, and banana cream, peppered with spice notes of cinnamon, mint, and teaberry that emerge on a soft finish that fades out gently. A fitting end to the Legacy series. I’m sad to see them go.",94 points,Single Malt Scotch  , John Hansell ,  $550.00,Spring 2008,41%
Bunnahabhain 35 year old 1971 vintage,"Bottled to celebrate the 125th Anniversary of the distillery. Classic Bunnahabhain-toffeed and quite nutty. Almost rummy in nature, with rich molasses notes throughout and layers of sweetness. Some salt emerges on occasion, as do notes of honey, coconut, and candied fruit, with a pleasingly dry, gently spicy finish to round everything out. Surprisingly youthful for its age, nicely balanced, and very drinkable. A great Bunnahabhain!",94 points,Single Malt Scotch  , John Hansell ,  $700,Winter 2006,44.9%
The Dalmore Stillman's Dram 28 Year Old,"For the past several years, the Stillman’s Dram expression of The Dalmore has been a 30 year old. This new 28 year old expression, besides being two years younger, is also slightly less sherried. In this instance, I feel that both have enhanced the whisky. Trimming back on the sherry and oak allows the whisky’s trademark orange marmalade, complex spice, and briny freshness to shine through. This one is lively, dynamic, evolving, well-balanced, and always entertaining. The best Dalmore Stillman’s Dram in years.",94 points,Single Malt Scotch  , John Hansell ,  $140,Fall 2005,45%
Glendronach 33 year old,"Matured entirely in oloroso sherry butts, this whisky is chock-full of lush fruit, roasted nuts, deep spice notes, and a hint of damp smoke. It is wonderfully integrated, with incredible depth and maturity without being tired-and it expresses a soothing quality that doesn’t quit. It is stunning throughout and more polished and rounded than the 1968 Vintage released a while back, which, while enjoyable, was a tad sappy and a bit too oaky at times. This whisky is easily one of the 10 best new whiskies for 2005, and worth every penny. Get a bottle while you can.",94 points,Single Malt Scotch  , John Hansell ,  $400,Summer 2005,40%
GlenDronach Grandeur 31 year old,"The new ultra-mature release, following its 33 year old predecessor (bottled by previous owners). It’s nice to see the higher ABV, given that the 33 year old was only 40%. Very soothing. Quite deep on the nose and viscous (almost sappy) on the palate, with gobs of juicy oak and old oak (its age is obvious but not imposing), dark raisin, black raspberry, orange marmalade, roasted nuts, and freshly roasted coffee beans. All of this is peppered with cinnamon, ginger, and charcoal. Polished leather on the finish. I like that it’s sherried, and the sherry is kept in balance. Those of you who liked the 33 year old will also enjoy this one (assuming you can afford it).",94 points,Single Malt Scotch  , John Hansell ,  $700,Spring 2011,45.8%
Glenfarclas Family Casks 1987 (Cask #3829),"This is the bomb. Savory and lightly meaty, but sweetened by plum sauce; there’s even some strawberry around the fringes. You could see how with another 30 years this would end up like the ’54. Elegant yet powerful, there’s sandalwood incense, marmalade, even a little dried mango. The distillery’s density is balanced by this fruit. Lush with supple tannins and at its best neat. From a refill butt, this is an exemplary sherried malt. £230",94 points,Single Malt Scotch  , Dave Broom ,  $387,Fall 2014,48%
Glengoyne,"Aged in sherry butts, which is a departure from some of the older Glengoyne vintage samples I have which show more bourbon barrel characteristics. It is a very fruity, spicy, textural dram, with spiced apple, red raspberry, strawberry, plum, golden raisin, fried plantain, and creme brulee. Good grip on the finish, with grape stems and warming spice (cinnamon, cracked peppercorn, and clove). I love the balance on this whisky. It has aged very gracefully. (Limited to 250 bottles worldwide.)",94 points,Single Malt Scotch  , John Hansell ,  $5730.00,Summer 2010,45.9%
Glenmorangie Astar 2017,"The first bottling of Astar was released in 2008. The 2017 release was matured in casks made of oak from Missouri’s Ozark Mountains. The nose is floral, with rosehips, orange blossom, and milk chocolate-coated Turkish delight. Honey and citrus notes follow. Voluptuous on the palate; sweet, even sugary fresh fruit notes, plus vanilla, cinnamon, and cloves. Drying from coconut to plain chocolate in the lengthy finish. Extremely accomplished. (Individual reviewer rating: 93)",94 points,Single Malt Scotch  , Gavin Smith ,  $100,Winter 2017,52.5%
Glenmorangie Signet,"An innovative offering made with a proportion of chocolate malt and matured in virgin American oak. Some of the component whiskies are between 35 and 40 years old. Milk chocolate, honey, orange marmalade, sultanas, and spice on the inviting nose. The palate is rich and full, with malt, dates, Jaffa oranges, dark chocolate, and coffee beans. Long and spicy in the drying finish. Glenmorangie at its very best.",94 points,Single Malt Scotch  , Gavin Smith ,  $220,Spring 2019,46%
Glenmorangie Astar 2017 Release,"Glenmorangie Astar returns after a five-year absence. Astar is matured in custom toasted casks made from slow-growing trees on north-facing slopes in the Ozark Mountains of Missouri. The barrels harbor bourbon for four years before heading to Glenmorangie. That level of provenance doesn’t come cheap, which is why the original Astar was discontinued in 2012, just four years after its acclaimed appearance. The exquisite Glenmorangie aromas and flavors—floral, with rose hips and orange blossom—are dialed up to new levels of intensity, while the voluptuous and sweet palate exudes harmony and balance. Number 2 in the 2017 Top 20 ",94 points,Single Malt Scotch  , Gavin Smith ,  $100,Winter 2017,52.5%
Highland Park,"Rummy molasses and toffee sweetness intertwine with roasted nuts and bright, juicy fruit. Suggestions of fig, lavender, leather, and tobacco throughout, with a hint of peat and polished oak on the finish. Not quite as refined as the Highland Park 18 year old, but it makes up for this with its dynamic personality. A delicious ultra-mature, sherry cask-aged whisky. (A Binny’s Beverage Depot exclusive.)",94 points,Single Malt Scotch  , John Hansell ,  $325.00,Fall 2006,53%
Highland Park,"A delicious, well-balanced, ultra-matured expression of Highland Park. Toffee apples, molasses, and vanilla fudge provide a sweet foundation, with evolving notes of dark chocolate, dry spicy oak, tobacco, subtle smoke, and lingering brine on the finish. Nicely done. (Bottled for Old Oaks Cigar & Wine Company)",94 points,Single Malt Scotch  , John Hansell ,  $300.00,Winter 2007,48.5%
Highland Park,"An essay in elegance. Silky and soft in texture, and very clean. Notes of peaches and cream, vanilla wafer, soft honey and fruit gum drops. Subtler notes of tropical fruit (pineapple, lemon, coconut), demerara sugar, heather, and anise. Polished oak adds structure and contrast, with a very elegant finish. Hard to believe this whisky is 32 years old. It's lighter and more elegant than the equally splendid Highland Park 30 year old, which I rated a 94 in the last issue. (Bottled exclusively for Park Avenue Liquors.)",94 points,Single Malt Scotch  , John Hansell ,  $350.00,Winter 2005,41.3%
Highland Park 30 Year Old,"An exemplary Highland Park. There's certainly plenty of sherry influence in this whisky and it is complementary. (About 2/3 of the whisky was aged on sherry casks, and a lot of these casks were second fill.) The whisky enjoys a delicious foundation of toffee, fruit (lemon, plum, blueberries) and dark chocolate. It continues to develop and evolve on the palate, with emerging notes of heather, nougat, lavender, delicate peat and complex dried spice (especially cinnamon and nutmeg) to balance the sweeter notes. The extra alcohol is also a bonus, providing a drying balance to the whisky's sweetness. Whiskies like this one remind me why I fell in love with whisky in the first place.",94 points,Single Malt Scotch  , John Hansell ,  $350.00,Fall 2005,48.1%
Highland Park,"A marriage of two casks (refill hogsheads). Significantly darker in color than the 1968 vintage. Darker (and more serious) in personality, too. Red berries (strawberry, raspberry), rhubarb, plum, oak sap, vanilla bean, smoldering peat, coffee grounds, toasted almond, and dusty malt. The finish is long and contemplative, with notes of polished leather, juicy oak, and telicherry peppercorns. £3,750",94 points,Single Malt Scotch  , John Hansell ,  $6088.00,Spring 2010,42.2%
Highland Park,"This limited edition bottling consists of a marriage of both European and American oak. Still lively for its age, and beautifully balanced. Bountiful golden fruit (sultana, pineapple upside down cake, tangerine, overripe nectarine) balanced by soothing, creamy vanilla. A peppering of dried spice, chamomile tea, toasted oak, cigar box, and subtle smoke round out the palate. Soft and seductive. (Not available in the U.S.)£2,250",94 points,Single Malt Scotch  , John Hansell ,  $3500.00,Winter 2010,48%
Highland Park 18 Year Old,"Introduced to the Highland Park portfolio in 1997. Gentle peat, soft toffee, floral notes, and honey on the beautifully fragrant nose. Superbly balanced on the velvety palate, with brittle toffee, stewed fruits, peat, honey, and a hint of coffee. Smoke and more toffee mingle in the long, elegant finish.",94 points,Single Malt Scotch  , Gavin Smith ,  $112.00,Spring 2012,43%
